2025-06-30 03:08:22,tabSwitched,"{'type': 'tabSwitched', 'fromTab': 1426749864, 'toTab': 1426749825, 'timestamp': 1751234902632}"
2025-06-30 03:08:22,tabHighlighted,"{'type': 'tabHighlighted', 'windowId': 1426749613, 'tabIds': [1426749825], 'timestamp': 1751234902633}"
2025-06-30 03:08:22,tabDuration,"{'type': 'tabDuration', 'tabId': 1426749864, 'duration': 2698, 'timestamp': 1751234902632}"
2025-06-30 03:08:30,resourceUsage,{'type': 'resourceUsage', 'chrome_memory_bytes': 7662485504, 'chrome_cpu_percent_sum': 0.0, 'chrome_process_count': 0, 'system_memory_used_bytes': 6712868864, 'system_cpu_percent': 12.2, 'net_bytes_sent_delta': 280182, 'net_bytes_recv_delta': 943351}, 'chrome_memory_bytes': 7662485504, 'chrome_cpu_percent_sum': 0.0, 'chrome_process_count': 0, 'system_memory_used_bytes': 6712868864, 'system_cpu_percent': 12.2, 'net_bytes_sent_delta': 280182, 'net_bytes_recv_delta': 943351}"
2025-06-30 03:08:32,periodicBrowserStats,"{'type': 'periodicBrowserStats', 'windowCount': 1, 'tabCount': 33, 'timestamp': 1751234912973}"
2025-06-30 03:08:38,tabDuration,"{'type': 'tabDuration', 'tabId': 1426749825, 'duration': 15754, 'timestamp': 1751234918386}"
2025-06-30 03:09:00,resourceUsage,{'type': 'resourceUsage', 'chrome_memory_bytes': 7674200064, 'chrome_cpu_percent_sum': 0.0, 'chrome_process_count': 0, 'system_memory_used_bytes': 6607372288, 'system_cpu_percent': 13.5, 'net_bytes_sent_delta': 245740, 'net_bytes_recv_delta': 966185}, 'chrome_memory_bytes': 7674200064, 'chrome_cpu_percent_sum': 0.0, 'chrome_process_count': 0, 'system_memory_used_bytes': 6607372288, 'system_cpu_percent': 13.5, 'net_bytes_sent_delta': 245740, 'net_bytes_recv_delta': 966185}"
2025-06-30 03:09:02,periodicBrowserStats,"{'type': 'periodicBrowserStats', 'windowCount': 1, 'tabCount': 33, 'timestamp': 1751234942972}"
2025-06-30 03:09:30,resourceUsage,"{'type': 'resourceUsage', 'chrome_memory_bytes': 7517896704, 'chrome_cpu_percent_sum': 0.0, 'chrome_process_count': 0, 'system_memory_used_bytes': 6723223552, 'system_cpu_percent': 10.1, 'net_bytes_sent_delta': 39440, 'net_bytes_recv_delta': 33089}"
2025-06-30 03:09:32,periodicBrowserStats,"{'type': 'periodicBrowserStats', 'windowCount': 1, 'tabCount': 33, 'timestamp': 1751234972975}"
2025-06-30 03:10:00,resourceUsage,"{'type': 'resourceUsage', 'chrome_memory_bytes': 7664287744, 'chrome_cpu_percent_sum': 0.0, 'chrome_process_count': 0, 'system_memory_used_bytes': 6713180160, 'system_cpu_percent': 11.6, 'net_bytes_sent_delta': 113533, 'net_bytes_recv_delta': 372447}"
2025-06-30 03:10:02,periodicBrowserStats,"{'type': 'periodicBrowserStats', 'windowCount': 1, 'tabCount': 33, 'timestamp': 1751235002970}"
